CUST_ID,ARTICLE_ID,RATING
A2MP227F412SIR,#5886,1.0
A2MP227F412SIR,#5073,0.0
AX9LH5UKXP452,#5078,1.0
A2MP227F412SIR,#5181,0.0
A2MP227F412SIR,#5095,1.0
AX9LH5UKXP452,#4818,0.0
A2MP227F412SIR,#4043,0.0
AX9LH5UKXP452,#4581,0.0
A2MP227F412SIR,#5139,1.0
A2MP227F412SIR,#4404,1.0
AX9LH5UKXP452,#4752,1.0
A2MP227F412SIR,#5535,0.0
AX9LH5UKXP452,#4616,0.0
A2MP227F412SIR,#5327,0.0
AX9LH5UKXP452,#5541,1.0
AX9LH5UKXP452,#5668,0.0
A2MP227F412SIR,#5647,1.0
AX9LH5UKXP452,#5434,1.0
AX9LH5UKXP452,#5761,0.0
AX9LH5UKXP452,#5234,1.0
AX9LH5UKXP452,#4182,1.0
AX9LH5UKXP452,#5921,1.0
AX9LH5UKXP452,#4821,0.0
AX9LH5UKXP452,#5738,1.0
AX9LH5UKXP452,#4600,1.0
AX9LH5UKXP452,#5884,0.0
AX9LH5UKXP452,#4557,1.0
AX9LH5UKXP452,#5943,1.0
AX9LH5UKXP452,#4070,1.0
AX9LH5UKXP452,#5583,1.0
A26KOGQVJXSXER,#5297,1.0
A26KOGQVJXSXER,#4673,1.0
A26KOGQVJXSXER,#5590,1.0
A26KOGQVJXSXER,#5105,1.0
A26KOGQVJXSXER,#5044,1.0
A26KOGQVJXSXER,#4109,0.0
A26KOGQVJXSXER,#5126,1.0
A26KOGQVJXSXER,#5941,1.0
A26KOGQVJXSXER,#5561,1.0
A26KOGQVJXSXER,#5814,0.0
A26KOGQVJXSXER,#4634,0.0
A26KOGQVJXSXER,#5322,1.0
A26KOGQVJXSXER,#4617,1.0
A26KOGQVJXSXER,#5098,1.0
A26KOGQVJXSXER,#4358,1.0
A26KOGQVJXSXER,#5940,1.0
A26KOGQVJXSXER,#5555,1.0
A26KOGQVJXSXER,#4718,1.0
A26KOGQVJXSXER,#5358,1.0
A26KOGQVJXSXER,#5817,1.0
A26KOGQVJXSXER,#4360,0.0
A26KOGQVJXSXER,#4938,0.0
A26KOGQVJXSXER,#5647,0.0
A26KOGQVJXSXER,#4983,1.0
A26KOGQVJXSXER,#4282,0.0
A2Z65E2WBVVA2N,#4508,0.0
A26KOGQVJXSXER,#4731,1.0
A2Z65E2WBVVA2N,#5404,1.0
A26KOGQVJXSXER,#5360,1.0
A26KOGQVJXSXER,#4066,0.0
A2Z65E2WBVVA2N,#5593,0.0
A26KOGQVJXSXER,#4354,0.0
A2Z65E2WBVVA2N,#4118,1.0
A26KOGQVJXSXER,#4582,0.0
A2Z65E2WBVVA2N,#5488,1.0
A2Z65E2WBVVA2N,#4536,0.0
A26KOGQVJXSXER,#5427,0.0
A26KOGQVJXSXER,#5360,1.0
A2Z65E2WBVVA2N,#5417,0.0
A26KOGQVJXSXER,#4161,0.0
A26KOGQVJXSXER,#5438,0.0
A2Z65E2WBVVA2N,#5649,1.0
A26KOGQVJXSXER,#4121,0.0
A2Z65E2WBVVA2N,#4317,0.0
A26KOGQVJXSXER,#4713,1.0
A26KOGQVJXSXER,#4233,1.0
A2Z65E2WBVVA2N,#5535,1.0
A2Z65E2WBVVA2N,#5724,0.0
A26KOGQVJXSXER,#5265,1.0
A26KOGQVJXSXER,#4315,1.0
A2Z65E2WBVVA2N,#4790,1.0
A26KOGQVJXSXER,#4438,0.0
A2Z65E2WBVVA2N,#4124,1.0
A2Z65E2WBVVA2N,#5566,1.0
A2Z65E2WBVVA2N,#5183,1.0
A26KOGQVJXSXER,#5389,1.0
A26KOGQVJXSXER,#4059,0.0
A2Z65E2WBVVA2N,#4661,1.0
A2Z65E2WBVVA2N,#5238,0.0
A26KOGQVJXSXER,#5562,0.0
A2Z65E2WBVVA2N,#5352,1.0
A26KOGQVJXSXER,#5442,1.0
A26KOGQVJXSXER,#5045,1.0
A2Z65E2WBVVA2N,#5225,1.0
A26KOGQVJXSXER,#4186,0.0
A26KOGQVJXSXER,#4439,1.0
A2Z65E2WBVVA2N,#4723,0.0
